id,comment,comment_ko
3319,Slight sour note mixed with bitterness at the start,처음에는 약간 신맛과 쓴맛이 섞여 있습니다.
3320,Eliminates cacao notes on some people's skin,일부 사람들의 피부에서 카카오 향을 제거해줍니다.
3321,Distinctively French fragrance,독특한 프랑스 향수
3322,Comforting and soothing scent,편안하고 진정되는 향
3323,Perfect for anyone with nose and imagination,후각과 상상력이 풍부한 사람이라면 누구나 만족할 만한 제품입니다.
3324,Appreciates true beauty,진정한 아름다움을 감상합니다
3325,Not always what it seems at first,처음 보이는 것과 항상 같지는 않다
3326,Enjoyment enhanced with precepts,가르침으로 더욱 풍요로워진 즐거움
3327,Metaphor for life itself,삶 자체를 나타내는 은유
3328,Classic perfume for men over 45,45세 이상 남성을 위한 클래식 향수
3329,Great for summer,여름에 딱 좋아요
3330,Uplifting and joyful,기분 좋고 즐거운
3331,Unique and interesting,독특하고 흥미로운
3332,Authentic grapefruit scent,진정한 자몽 향
3333,Lovely accord of grapefruit,사랑스러운 자몽 향
3334,Fresh and original,신선하고 독창적인
3335,Favorite perfume,가장 좋아하는 향수
3336,Warm vanilla drydown,따뜻한 바닐라 향의 잔향
3337,Unique blend of real fruit scents,진짜 과일 향이 독특하게 조화된 제품입니다.
3338,Brash and bold fragrance,대담하고 강렬한 향
3339,Balance of sweetness and acidity,단맛과 산미의 균형
3340,Refreshing and zingy for summer wear,여름에 입기 좋은 상쾌하고 톡 쏘는 향
3341,A statement fragrance,개성 넘치는 향수
3342,Cool and rebellious feeling,시원하고 반항적인 느낌
3343,Suitable for unisex wear,남녀 공용으로 착용 가능합니다.
3344,Linear scent for longevity,향이 오래 지속되는 직선형 향
3345,Simple and enjoyable scent for everyday wear,매일 사용하기 좋은 심플하고 기분 좋은 향
3346,Soft and approachable scent,부드럽고 부담스럽지 않은 향
3347,Delicate and fresh fragrance,섬세하고 산뜻한 향
3348,Affordable price,합리적인 가격
3349,"Suitable for young, modern yet romantic women",젊고 현대적이면서도 로맨틱한 여성에게 적합합니다.
3350,Non-offensive fragrance,자극적이지 않은 향
3351,Lovely dry down to sandalwood and vanilla,샌달우드와 바닐라 향으로 은은하게 마무리되는 사랑스러운 드라이 로우
3352,Perfect for mornings,아침에 딱 좋아요
3353,Calvin Klein,캘빈 클라인
3354,Elegant and serene,우아하고 평온한
3355,Refreshing for summer,여름에 딱 맞는 상쾌함
3356,Inexpensive,저렴한
3357,Clean and forest-like,깨끗하고 숲과 같은
3358,Everyday usage,일상적인 사용
3359,Stands the test of time,시간의 시험을 견뎌낸다
3360,Unique and engaging scent,독특하고 매력적인 향
3361,"Fresh, crisp, feminine fragrance",신선하고 산뜻하며 여성스러운 향
3362,Classy and clean scent that's youthful and sparkly,세련되고 깨끗하면서도 젊고 활기찬 향
3363,Pleasant and unoffensive office scent,기분 좋고 거슬리지 않는 사무실 향기
3364,Suitable for any time of day and season,시간대와 계절에 상관없이 언제든 착용 가능합니다.
3365,Safe blind buy,안전한 블라인드 구매
3366,Easy to wear and hold crystal bottle,착용하고 잡기 편한 크리스탈 병
3367,Potent and long-lasting,강력하고 오래 지속됩니다
3368,"Beautiful blend of notes creating a rich, sensual scent",아름다운 향의 조화로 풍부하고 관능적인 향이 탄생했습니다.
3369,Classy and high-quality fragrance,고급스럽고 질 좋은 향수
3370,Elegant and sophisticated feel,우아하고 세련된 느낌
3371,Delightful and gorgeous scent,기분 좋고 아름다운 향기
3372,Successful adaptation of the original Chanel No. 5,오리지널 샤넬 넘버 5를 성공적으로 재해석한 제품
3373,Suitable for both vintage and contemporary tastes,빈티지 취향과 현대적인 취향 모두에 적합합니다.
3374,"Thick, rich, buttery ylang ylang note",진하고 풍부하며 버터처럼 부드러운 일랑일랑 향
3375,Liked by younger generations,젊은 세대에게 인기가 많다
3376,Lasts quite a long time,꽤 오랫동안 지속됩니다
3377,Beautiful bottle design,아름다운 병 디자인
3378,"Feminine, fun and flirty scent that works for all seasons and is office/school safe",여성스럽고 재미있고 매력적인 향으로 모든 계절에 어울리며 사무실이나 학교에서도 사용하기 좋습니다.
3379,Great for ladies and girls who love fruity-floral perfumes,과일향과 꽃향이 어우러진 향수를 좋아하는 여성분들에게 아주 좋습니다.
3380,Patchouli note doesn't trigger a headache,파출리 향은 두통을 유발하지 않습니다.
3381,"Gentle, warm, unique and special floral-oriental perfume",부드럽고 따뜻하며 독특하고 특별한 플로럴 오리엔탈 향수
3382,"Soulful, innocent, captivating, sexy, delicate, natural and gently bold","감성적이고, 순수하고, 매혹적이고, 섹시하고, 섬세하고, 자연스러우면서도 은근히 대담한"
3383,"Supremely balanced, well blended and full of depth and complexity","최상의 균형감과 훌륭한 조화, 깊이와 복합미를 지닌 맛"
3384,Captivating masterpiece,매혹적인 걸작
3385,Sweet and creamy,달콤하고 크리미한
3386,Suggests sensuality,관능미를 암시합니다
3387,Great staying power,뛰어난 지속력
3388,Good for cooler seasons,서늘한 계절에 좋습니다
3389,Complimented by men,남성들에게 칭찬받음
3390,Floral and softer than the original HP,오리지널 HP보다 꽃향기가 나면서 더 부드럽습니다.
3391,Good for ladies who like black lace and dark red nail polish,검은색 레이스와 진한 빨간색 매니큐어를 좋아하는 여성분들에게 좋습니다.
3392,Unisex fragrance,남녀 공용 향수
3393,"Dark, thick, deep and sweet fragrance",진하고 짙고 깊고 달콤한 향
3394,Sensual and intoxicating,관능적이고 황홀한
3395,Rich and lush scent,풍부하고 진한 향
3396,Long lasting,오래 지속되는
3397,Strong and clear performance,강렬하고 선명한 성능
3398,Appealing to gothic or vampy style,고딕 또는 뱀파이어 스타일을 선호하는
3399,Attracts compliments,칭찬을 많이 받는다
3400,Suitable for all seasons,모든 계절에 적합합니다
3401,"Long lasting, can still smell it days later",지속력이 뛰어나 며칠이 지나도 향이 남아있습니다.
3402,Unique and classy scent,독특하고 고급스러운 향
3403,High quality ingredients,고품질 재료
3404,Luxury in a bottle,병 속에 담긴 고급스러움
3405,Insane longevity,엄청난 장수
3406,Well blended notes,잘 어우러진 향
3407,Suitable for both genders,남녀 모두에게 적합합니다
3408,Unusual and desert-like aroma,특이하고 사막을 연상시키는 향
3409,Great for warmer days,따뜻한 날씨에 딱 좋아요
3410,Serviceable and mass-pleasing,실용적이고 대중적인
3411,Heavenly scent with good projection,향긋하고 확산력도 좋은 천상의 향
3412,Great for most situations,대부분의 상황에 적합합니다.
3413,"Good depth and woody, fruity, spicy notes","깊이감 있고 나무향, 과일향, 향신료향이 조화롭게 어우러진 노트"
3414,Compliment garnering scent,칭찬을 불러일으키는 향기
3415,"Salty, woody, and contains ginger","짭짤하고, 나무 향이 나며, 생강이 함유되어 있습니다."
3416,One of the bestselling new releases in UK and Europe,영국과 유럽에서 가장 많이 팔린 신간 중 하나
3417,Etat Libre d'Orange,오렌지 자유국
3418,Realistic mint note,실물 민트 지폐
3419,Fresh and uplifting,신선하고 활기찬
3420,Suitable for men and women,남녀 공용
3421,Ideal for spring and summer,봄과 여름에 이상적입니다.
3422,High quality,고품질
3423,Good persistence for the type of fragrance,향의 종류에 비해 지속력이 좋습니다.
3424,Moderate projection,중간 정도의 투영
3425,Light and fresh warm weather version of the original,원곡을 가볍고 산뜻하게 만든 여름철 버전
3426,"Relaxed citrus notes, most notably orange and a soft, floral neroli","편안한 시트러스 향, 특히 오렌지와 은은한 꽃향기의 네롤리 향이 두드러집니다."
3427,Excellent Summer type scent with decent longevity,여름에 딱 어울리는 향에 지속력도 괜찮습니다.
3428,Lovely creamy citrus lemon scent perfect for summer,여름에 딱 어울리는 사랑스러운 크리미한 시트러스 레몬 향
3429,"Infused with a breezy, airy quality",산뜻하고 가벼운 느낌이 가득합니다.
3430,Beautiful delicate mist with generous sprayer,아름답고 섬세한 안개를 넉넉하게 분사해줍니다.
3431,Modern uplifting release from Guerlain,겔랑에서 새롭게 선보이는 모던하고 활기찬 사운드트랙
3432,"Crisp, light and nicely pungent",산뜻하고 가벼우며 기분 좋게 톡 쏘는 맛
3433,Salvatore Ferragamo,살바토레 페라가모
3434,Very feminine and classy,매우 여성스럽고 고급스럽습니다.
3435,Delicate sweet milky rose scent,은은하고 달콤한 밀크 로즈 향
3436,Light and sweet fragrance,가볍고 달콤한 향
3437,"Fun, pretty, fresh fragrance",재미있고 예쁘고 산뜻한 향기
3438,Perfect for everyday wear and winter season,일상복과 겨울철에 딱 좋습니다.
3439,Gourmand but not too sweet,달콤하지만 지나치게 달지는 않은 맛
3440,Affordable price,합리적인 가격
3441,Giorgio Armani,조르지오 아르마니
3442,Very sexy and seductive smell,아주 섹시하고 유혹적인 향
3443,Well-blended and lasts for hours,잘 어우러지고 오랫동안 지속됩니다.
3444,Competes quality-wise with Chanel and Dior,"샤넬, 디올과 품질 면에서 경쟁할 만하다."
3445,"Great for nightouts, clubbing, and dating","나이트 아웃, 클럽 활동, 데이트에 안성맞춤입니다."
3446,Performance and longevity is excellent,성능과 내구성이 탁월합니다.
3447,Worth buying a whole bottle,한 병 통째로 사볼 만한 가치가 있어요
3448,One of the best date night fragrances released of 2019,2019년 출시된 최고의 데이트 향수 중 하나
3449,Yves Rocher,이브 로셰
3450,"Fresh, uplifting, and clean","신선하고, 활기차고, 깨끗함"
3451,Breezy and pretty,산뜻하고 예뻐요
3452,Perfect spring scent,완벽한 봄 향기
3453,"Cool, green citrus opening",시원하고 싱그러운 감귤 향으로 시작
3454,Smells like spring and dewy grass,봄과 이슬 맺힌 풀 냄새가 나요
3455,Grass green jasmine heart,풀잎색 자스민 하트
3456,"Polite and shy base of cedar, musk, and amber","삼나무, 머스크, 앰버를 베이스로 한 정중하고 수줍은 향"
3457,Buy this fragrance atLuckyScent,LuckyScent에서 이 향수를 구매하세요.
3458,Androgynous scent that is comforting and not suffocating or overly cozy,답답하거나 지나치게 아늑하지 않고 편안한 느낌을 주는 중성적인 향
3459,"Sensual, smooth, woody, somewhat sweet, and somewhat herbal","관능적이고 부드러우며, 나무 향이 나고, 약간 달콤하며, 약간 허브 향이 납니다."
3460,A work of art,예술 작품
3461,Intoxicating and mesmerizing scent,황홀하고 매혹적인 향기
3462,Statement perfume with a strong character,강렬한 개성을 지닌 스테이트먼트 향수
3463,Great projection and longevity,뛰어난 발색력과 지속력
3464,Perfect for summer nights or warm autumn evenings,여름밤이나 따뜻한 가을 저녁에 딱 좋습니다.
3465,Elegant and classy,우아하고 고급스럽다
3466,Soft and feminine scent,부드럽고 여성스러운 향
3467,Ageless and versatile fragrance,시대를 초월하는 다재다능한 향수
3468,Interesting mix of notes,흥미로운 음표들의 조합
3469,Depth despite being light,가볍지만 깊이감이 있다
3470,Long-lasting with good sillage,지속력이 좋고 확산력도 뛰어납니다.
3471,Balances and calms the wearer,착용자의 균형을 잡아주고 마음을 진정시켜줍니다.
3472,Great for gifting,선물하기에 아주 좋습니다
3473,"Aromatic with lavender, mint, and soapy base","라벤더, 민트, 비누 향이 어우러진 아로마 향"
3474,Minimalist and classy scent,미니멀하고 고급스러운 향
3475,Versatile and suitable for almost any situation,다재다능하며 거의 모든 상황에 적합합니다.
3476,Clean and fresh citrusy opening,깔끔하고 산뜻한 시트러스 향으로 시작
3477,"Mesmerizing, humble, peaceful, and refreshing scent","매혹적이고, 소박하고, 평화롭고, 상쾌한 향기"
3478,Great for pleasing the masses and getting compliments,대중을 만족시키고 칭찬을 받기에 아주 좋습니다.
3479,Subtle mint and oceanic scent mixed with outdoor woodsy undertones,은은한 민트와 바다 향에 야외의 숲 향이 어우러진 향
3480,Long-lasting with good sillage,지속력이 좋고 확산력도 뛰어납니다.
3481,"Warm, still and calm",따뜻하고 고요하고 평온하다
3482,Intimate and understated,친밀하고 절제된
3483,Realistic sandalwood scent,실제 백단향과 같은 향
3484,Best sandalwood fragrance,최고의 백단향 향수
3485,Clear preference for EDT,EDT에 대한 명확한 선호도
3486,Represents childhood memories,어린 시절의 추억을 나타냅니다.
3487,Outstanding longevity,뛰어난 장수
3488,Not suitable for those who dislike cypress or woody scents,삼나무 향이나 나무 향을 싫어하는 분에게는 적합하지 않습니다.
3489,Great for someone who likes to sniff themselves,자기 몸 냄새 맡는 걸 좋아하는 사람에게 딱 좋아요.
3490,Soft and ladylike with a bold edge,부드럽고 여성스러우면서도 대담한 매력이 돋보입니다.
3491,Sparkling citruses with Guerlain vanilla and warm jasmine,상큼한 시트러스 향에 겔랑 바닐라와 따뜻한 자스민 향이 어우러진 향입니다.
3492,Breathable in warmer climate,따뜻한 기후에서 통기성이 좋습니다.
3493,Addictive powdery yet modern type of scent,중독성 있는 파우더리하면서도 모던한 향
3494,Maintains grandeur and sophisticated vibe of original,원작의 웅장함과 세련된 분위기를 그대로 유지합니다.
3495,Return to refined yet wild femininity,세련되면서도 거침없는 여성성으로 돌아가세요
3496,Lovely round fresh start,사랑스러운 둥근 새 시작
3497,Elegant and uplifting,우아하고 기분 좋게
3498,"Beautiful, feminine scent",아름답고 여성스러운 향
3499,Long-lasting with impressive projection,뛰어난 지속력과 확산력을 자랑합니다.
3500,Hint of citrusy notes adds a twist to traditional floral scents,은은한 감귤 향이 전통적인 꽃향기에 색다른 매력을 더합니다.
3501,Delightful and peaceful,즐겁고 평화로운
3502,Smooth and creamy floral notes,부드럽고 크리미한 꽃향
3503,Perfect for a lady from the past,과거에서 온 여성에게 딱 맞는 옷입니다.
3504,Suitable for all four seasons,사계절 모두에 적합합니다
3505,L'Artisan Parfumeur,라르티장 향수
3506,Loved by many for its unique and exotic blend of notes,독특하고 이국적인 향의 조화로 많은 사람들에게 사랑받고 있습니다.
3507,Balanced combination of fruity and smoky scents,과일향과 스모키향이 조화롭게 어우러진 향
3508,Unisex fragrance with a mysterious and adventurous feel,신비롭고 모험적인 느낌의 남녀 공용 향수
3509,Suitable for those who love clean and dark woody fragrances,깨끗하고 깊이 있는 우디 계열 향을 좋아하는 분들에게 적합합니다.
3510,Mango note gives a different and pleasing scent,망고 향은 색다르고 기분 좋은 향을 선사합니다.
3511,Great for those who want something different than popular scents like Creed's Aventus,크리드의 아벤투스처럼 인기 있는 향과는 다른 향을 원하는 분들에게 좋습니다.
3512,Perfect for holidays and adventures,휴가와 모험에 안성맞춤입니다
3513,Great for bright mornings,화창한 아침에 딱 좋아요
3514,Rejuvenating and energizing,활력을 되찾고 생기를 불어넣어 줍니다
3515,Fresh and citrusy composition,신선하고 시트러스 향이 나는 구성
3516,Pleasant and round fragrance,기분 좋고 은은한 향기
3517,Uplifting and warm scent,기분을 좋게 하고 따뜻한 향
3518,Complements other Alien flankers,다른 에일리언 플랭커들과 상호 보완적입니다.
3519,Retains distinctive Alien character,외계인 특유의 특징을 그대로 유지한다.
3520,Impressive sillage and longevity,인상적인 확산력과 지속력
3521,Great all-year-round fragrance,사계절 내내 즐기기 좋은 향기
3522,Beastly projection,짐승 같은 투영
3523,Smooth and fruity scent,부드럽고 과일향이 나는 향
3524,Longevity is fantastic,장수란 정말 멋진 일이다.
3525,Good for evening/night outs,저녁/밤 외출에 좋습니다
3526,Versatile and inoffensive,다재다능하고 무해함
3527,High quality fragrance,고품질 향수
3528,Unique enough to stand out,눈에 띄도록 독특하다
3529,Giorgio Armani,조르지오 아르마니
3530,Warm feminine comforting scent perfect for Autumn,따뜻하고 여성스러우면서도 편안한 향으로 가을에 딱 어울립니다.
3531,Softens down sweet notes and blends perfectly on skin,달콤한 향을 부드럽게 해주고 피부에 완벽하게 어우러집니다.
3532,"Creamy, clean, warm base makes it easy to wear for any occasion",크리미하고 깨끗하며 따뜻한 베이스로 어떤 상황에도 잘 어울립니다.
3533,"Beautiful, soft, well-rounded scent",아름답고 부드러우며 균형 잡힌 향
3534,"Lovely scent with fresh oranges and magnolia resting on a base of woods, amber, and musk","신선한 오렌지와 목련 향이 우디 노트, 앰버, 머스크를 베이스로 어우러진 사랑스러운 향입니다."
3535,Suitable for all ages and not offensive or overpowering,모든 연령대에 적합하며 불쾌하거나 과하지 않습니다.
3536,Underhyped and garner compliments easily,과소평가되었지만 쉽게 칭찬을 받는 제품
3537,Antonio Banderas,안토니오 반데라스
3538,Affordable price,합리적인 가격
3539,Likable and easy to wear,호감 가고 입기 편한
3540,Fresh and aquatic scent,신선하고 물처럼 맑은 향
3541,Great for summer season,여름철에 딱 좋아요
3542,Suitable for any occasion,어떤 자리에도 적합합니다
3543,Triggers positive response,긍정적인 반응을 유발합니다
3544,Can be worn by both genders,남녀 모두 착용 가능합니다.
3545,Buy Tom Ford atLuckyScent,LuckyScent에서 Tom Ford 제품을 구매하세요.
3546,"Mystical, dark, and deep","신비롭고, 어둡고, 심오한"
3547,Evokes a sense of sexiness and sophistication,섹시함과 세련됨을 불러일으킨다
3548,Elegant and mature fragrance,우아하고 성숙한 향
3549,Powdery and floral notes,파우더리하고 플로럴한 향
3550,Distinctive scent for gentlemen,신사를 위한 특별한 향
3551,A modern masterpiece,현대의 걸작
3552,Excellent performance and longevity,뛰어난 성능과 긴 수명
3553,Realistic and natural rose scent,실제적이고 자연스러운 장미 향
3554,"Soft, feminine, and elegant","부드럽고, 여성스럽고, 우아함"
3555,Perfect for spring and summer,봄과 여름에 딱 좋아요
3556,Versatile and inoffensive,다재다능하고 무해함
3557,Opening is fresh and green,개장은 신선하고 푸르릅니다.
3558,Beautiful bottle design,아름다운 병 디자인
3559,Captivating and memorable,매혹적이고 기억에 남는
3560,Long-lasting fragrance,오래 지속되는 향기
3561,Classy and casual at the same time,고급스러우면서도 캐주얼한 느낌
3562,Elegant and minimalist fragrance,우아하고 미니멀한 향수
3563,Subtle yet attractive fragrance,은은하면서도 매력적인 향기
3564,Clean and fresh smell,깨끗하고 산뜻한 향
3565,Great use of suede in perfume,향수에 스웨이드를 훌륭하게 활용했네요.
3566,Warm and cozy scent,따뜻하고 아늑한 향
3567,Modern take on classic scents,클래식 향을 현대적으로 재해석
3568,Operates on a deeper emotional level,더 깊은 감정적 차원에서 작용합니다.
3569,Atelier Cologne,아틀리에 쾰른
3570,Very realistic and natural orange scent,매우 사실적이고 자연스러운 오렌지 향
3571,"Sweet and fresh, perfect for summer or spring",달콤하고 상큼해서 여름이나 봄에 딱 좋아요.
3572,"Bright, juicy, and mouth-watering","밝고, 과즙이 풍부하고, 군침이 도는"
3573,Uplifting and pleasant fragrance,기분 좋고 상쾌한 향기
3574,Great for daily wear and a good start to the day,일상복으로 입기 좋고 하루를 기분 좋게 시작할 수 있게 해줍니다.
3575,Evocative of happy memories such as family breakfasts,가족과 함께하는 아침 식사와 같은 행복한 추억을 떠올리게 합니다.
3576,Longevity is impressive for a citrus fragrance,시트러스 계열 향수치고는 지속력이 인상적입니다.
3577,Fresh and versatile fragrance,산뜻하고 다재다능한 향
3578,Pleasant and enjoyable scent,기분 좋고 즐거운 향기
3579,Good for casual occasions,캐주얼한 자리에 잘 어울립니다
3580,Notable citrus opening notes,뚜렷한 시트러스 향으로 시작됩니다.
3581,Comparable to popular designer fragrances,유명 디자이너 향수와 유사함
3582,Reasonably priced for a Roja scent,로하 향수치고는 가격이 적당합니다.
3583,Unisex fragrance,남녀 공용 향수
3584,Heavy vanilla notes add depth,진한 바닐라 향이 깊이를 더합니다.
3585,Lolita Lempicka,롤리타 렘피카
3586,Lovely fragrance for pepper lovers with soft pepper opening,"후추를 좋아하는 분들을 위한 사랑스러운 향으로, 은은한 후추 향으로 시작됩니다."
3587,Elmi resin creates a heavenly menthol scent,엘미 수지는 천상의 멘톨 향을 만들어냅니다.
3588,Delicate perfume with ethereal and sheer feminine scent,섬세하고 은은하며 여성스러운 향이 나는 향수입니다.
3589,Unique scent with puckishly intense black pepper accord,장난기 넘치면서도 강렬한 블랙페퍼 향이 어우러진 독특한 향
3590,"Sweet pea, heliotrope, and juicy mandarin notes catch attention","스위트피, 헬리오트로프, 그리고 과즙이 풍부한 만다린 향이 눈길을 사로잡습니다."
3591,Beautiful autumnal scent with warmth,따뜻함이 느껴지는 아름다운 가을 향기
3592,"Polished and put together, but not overdone",세련되고 깔끔하지만 과하지는 않다
3593,Fresh and clean smell.,신선하고 깨끗한 향.
3594,Suitable for spring and summer.,봄과 여름에 적합합니다.
3595,Great for a fresh out of shower feeling.,방금 샤워하고 나온 듯한 상쾌한 기분을 느끼게 해줘요.
3596,A perfect shampoo scent.,완벽한 샴푸 향.
3597,Green apple scent is pleasant.,풋사과 향은 기분 좋다.
3598,Crisp fruity opening is appealing.,상큼한 과일향으로 시작하는 첫맛이 매력적입니다.
3599,Unisex fragrance.,남녀 공용 향수.
3600,Good lasting power.,지속력이 좋습니다.
3601,Sophisticated and classy,세련되고 고급스러운
3602,"Fluffy, airy sweetness",폭신하고 가볍고 달콤한
3603,Great for summer and winter,여름과 겨울에 모두 좋습니다
3604,"Gourmandy orange, lime, and lemon notes","달콤한 오렌지, 라임, 레몬 향"
3605,Fresh and clean lemon scent,상큼하고 깨끗한 레몬 향
3606,More grounded than Shalimar intense version,샤리마르의 강렬한 버전보다 더 현실적이다
3607,Gender-neutral,성 중립적
3608,"Reminiscent of baby powder, love, and memory-making","베이비파우더, 사랑, 그리고 추억 만들기를 떠올리게 합니다."
3609,Gorgeous fragrance,아름다운 향기
3610,Primal and sensual experience,원초적이고 관능적인 경험
3611,Attractive to both men and women,남녀 모두에게 매력적입니다
3612,Complex and alluring,복잡하고 매혹적이다
3613,Beautiful silver pipe bottle,아름다운 은색 파이프 병
3614,Unique and masculine scent,독특하고 남성적인 향
3615,Makes a man feel important,남자가 중요한 사람이라고 느끼게 해준다
3616,Enhanced with cacao and vanilla in Dior Homme Intense,디올 옴므 인텐스에 카카오와 바닐라 향이 더해졌습니다.
3617,Fresh yet sweet scent,신선하면서도 달콤한 향
3618,"Delicious balance of creamy, fruity, and floral","크리미함, 과일향, 꽃향이 절묘하게 조화를 이룬 맛"
3619,Inexpensive,저렴한
3620,"Very pretty, warm and sunny kind of scent",아주 예쁘고 따뜻하고 햇살 같은 향이에요.
3621,Great for grey and boring mornings,흐리고 지루한 아침에 딱 좋아요
3622,Doesn't turn syrupy or cloying,지나치게 달거나 느끼하지 않습니다.
3623,Exciting and glamorous notes,흥미롭고 매혹적인 음표
3624,Lasts a really long time,정말 오래 지속됩니다
3625,Buy this fragrance atLuckyScent,LuckyScent에서 이 향수를 구매하세요.
3626,Smooth and well-balanced scent,부드럽고 균형 잡힌 향
3627,"Best in spring, autumn, winter","봄, 가을, 겨울에 가장 좋습니다."
3628,Romantic and sensual,로맨틱하고 관능적인
3629,Compliments 910,칭찬 910
3630,Versatility910,다재다능함910
3631,Longevity 910,장수 910
3632,Silageprojection 810,사일리지 예측 810
3633,Affordable price,합리적인 가격
3634,Prominent coffee note,커피 향이 두드러짐
3635,Long-lasting scent,오래 지속되는 향기
3636,Great blind buy for coffee scent lovers,커피 향을 좋아하는 사람들에게는 정말 좋은 블라인드 구매입니다.
3637,"Well-blended cinnamon, tonka, and whiskey notes","계피, 통카빈, 위스키 향이 조화롭게 어우러진 향"
3638,Hybrid fragrance with familiar scents,친숙한 향이 어우러진 하이브리드 향수
3639,Attracts attention from women,여성들의 관심을 끈다
3640,Gender-neutral fragrance,성별 구분 없는 향수
3641,Radiates masculinity,남성미가 물씬 풍긴다
3642,Old fashioned charm,옛스러운 매력
3643,Powerful and strong,강력하고 강하다
3644,Perfect for fall and winter,가을과 겨울에 딱 좋아요
3645,Sunny and handsome flair,햇살처럼 밝고 잘생긴 매력
3646,Signature scent for many years,오랜 세월 동안 사랑받아온 시그니처 향
3647,Great for seduction,유혹에 아주 효과적입니다
3648,Suitable for some women,일부 여성에게 적합합니다
3649,Subtle and gentle compared to Mugler's usual fare,무글러의 기존 작품에 비해 섬세하고 부드럽다.
3650,Balances between sweet and complex,단맛과 복합적인 맛의 균형
3651,Effervescent berries and citrus top notes,상큼한 베리와 시트러스 향이 탑노트로 느껴집니다.
3652,Soft and sweet without being overpowering,과하지 않으면서도 부드럽고 달콤합니다.
3653,Atmospheric and inviting,분위기 있고 매력적인
3654,Long-lasting sillage,오래 지속되는 향의 확산력
3655,Perfect for autumn or a love date,가을이나 로맨틱한 데이트에 딱이에요.
3656,Feminine and mature scent,여성스럽고 성숙한 향
3657,Mercedes-Benz,메르세데스-벤츠
3658,Pleasant scent,기분 좋은 향기
3659,Long-lasting,오래 지속되는
3660,Warm and cosy for winter,겨울에 따뜻하고 아늑하게
3661,Unique and elegant,독특하고 우아함
3662,Delectable opening,맛있는 시작
3663,Strong projection,강력한 투영
3664,Suitable for both masculine and feminine,남녀 모두에게 적합합니다
3665,Dolce&Gabbana,돌체앤가바나
3666,Mass-appealing tropical vibe,대중적인 열대 분위기
3667,Captivating warm nutty vanilla scent,매혹적인 따뜻하고 고소한 바닐라 향
3668,Richness and depth,풍부함과 깊이
3669,Long lasting power,오래 지속되는 전력
3670,Great silage and projection,훌륭한 사일리지와 전망
3671,Innocuous and sweet opening,무해하고 달콤한 시작
3672,Suitable for evening wear,저녁 모임에 적합합니다.
3673,L'Occitane en Provence,록시땅 앙 프로방스
3674,Warm and welcoming aura,따뜻하고 친근한 분위기
3675,Natural scent,천연 향
3676,Quality ingredients,고품질 재료
3677,Spicy and rugged scent,매콤하고 강렬한 향
3678,Botanical vanilla scent,식물성 바닐라 향
3679,Even mist sprayer,균일한 미스트 분무기
3680,Unisex appeal,남녀 공용으로 사용 가능
3681,Jennifer Lopez,제니퍼 로페즈
3682,"Fresh, pretty, and gentle fragrance",산뜻하고 예쁘고 은은한 향기
3683,Zen and minimalist with a positive vibe,젠 스타일과 미니멀리즘에 긍정적인 분위기가 더해졌습니다.
3684,Well-blended earl grey and white pepper opening,얼그레이와 화이트 페퍼가 조화롭게 어우러진 오프닝
3685,Unique and lovely,독특하고 사랑스러워요
3686,Super feminine and quietly confident,매우 여성스럽고 은은한 자신감이 넘치는
3687,"Sweet, fresh, and slightly sharp scent",달콤하고 신선하며 살짝 톡 쏘는 향
3688,Impressive sillage and longevity,인상적인 확산력과 지속력
3689,Masculine aroma that is perfect for colder climates,추운 기후에 딱 맞는 남성적인 향
3690,"Pleasant and bold opening with sweet, citrus, tobacco, spicy and resinous notes","달콤함, 시트러스, 담배, 향신료, 수지향이 어우러진 기분 좋고 강렬한 첫인상"
3691,Gorgeous sweet woody hookah tobacco infused blood oranges scent,달콤하고 아름다운 나무 향이 나는 후카 담배 향에 블러드 오렌지 향이 더해진 향입니다.
3692,Liked better than the original 1 Million fragrance,기존 1 Million 향수보다 더 마음에 들었어요.
3693,"Rich and sweet tonka bean, cinnamon, and tobacco blend","풍부하고 달콤한 통카빈, 계피, 담배 블렌드"
3694,Attracts compliments from others,타인으로부터 칭찬을 받는다
3695,Great alternative to more expensive fragrances like Ambre Narguil횄짤 and Oajan,Ambre Narguille이나 Oajan처럼 더 비싼 향수의 훌륭한 대안입니다.
3696,Affordable price compared to similar fragrances,비슷한 향수들에 비해 가격이 저렴합니다.
3697,Refined and appealing scent,세련되고 매력적인 향
3698,Great for romantic evenings,로맨틱한 저녁 식사에 딱 좋아요
3699,Good longevity,좋은 장수
3700,Punch of crackling spice without smelling like car air fresheners,차량용 방향제 냄새 없이 바삭바삭한 향신료의 풍미를 만끽하세요.
3701,Coffee note smells exactly like Turkish coffee,커피 향은 터키 커피 향과 정확히 똑같습니다.
3702,Scent of sweet coffee,달콤한 커피 향
3703,Similar to Thierry Mugler Angel Man,티에리 뮈글러의 엔젤 맨과 유사함
3704,Appealing to the masses,대중에게 호소하다
3705,Considered a masterpiece and game-changer in the fragrance industry,향수 업계의 걸작이자 판도를 바꾼 제품으로 여겨집니다.
3706,"Unique blend of aquatic, woody, and floral notes","수생, 우디, 플로럴 향이 독특하게 조화된 향"
3707,Great for summer and warm weather wear,여름과 따뜻한 날씨에 입기 좋습니다.
3708,Elicits positive emotions and memories in some users,일부 사용자에게 긍정적인 감정과 추억을 불러일으킵니다.
